CODIGO,TITULO,SINONIMOS,SINONIMOS_ENG,SINONIMOS_ENG_CLEAN
10105,Oficial general da aeronáutica,"Brigadeiro, Major-brigadeiro, Marechal-do-ar, Tenente-brigadeiro","Brigadeiro, Major-Brigadier, Marshal-Do, Lieutenant Brigadier",brigadeiro majorbrigadier marshaldo lieutenant brigadier
10110,Oficial general do exército,"General-de-brigada, General-de-divisão, General-de-exército, Marechal","Brigade General, Division General, General-of-Exempt, Marshal",brigade general division general generalofexempt marshal
10115,Oficial general da marinha,"Almirante, Almirante-de-esquadra, Contra-almirante, Vice-almirante","Admiral, Admiral-de-Squad, Countertop, Vice Admiral",admiral admiraldesquad countertop vice admiral
10205,Oficial da aeronáutica,"Capitão da aeronáutica, Coronel da aeronáutica, Major da aeronáutica, Primeiro-tenente da aeronáutica, Segundo-tenente da aeronáutica, Tenente-coronel da aeronáutica","Captain of Aeronautics, Aeronautics Colonel, Aeronautics Major, Prime Lieutenant of Aeronautics, according to Aeronautics Lieutenant, Lieutenant Colonel of Aeronautics",captain aeronautics aeronautics colonel aeronautics major prime lieutenant aeronautics according aeronautics lieutenant lieutenant colonel aeronautics
10210,Oficial do exército,"Capitão do exército, Coronel do exército, Major do exército, Primeiro-tenente do exército, Segundo-tenente do exército, Tenente-coronel do exército","Army Captain, Army Colonel, Army Major, Army First Lieutenant, Army Lieutenant Lieutenant Colonel of the Army",army captain army colonel army major army first lieutenant army lieutenant lieutenant colonel army
10215,Oficial da marinha,"Capitão-de-corveta, Capitão-de-fragata, Capitão-de-mar-e-guerra, Capitão-tenente da marinha, Primeiro-tenente da marinha, Segundo-tenente da marinha","Captain-de-Corvette, Captain-of-Fagat, Captain-of-Mar and War, Navy Captain, Navy Prime Lieutenant, according to Navy Latent",captaindecorvette captainoffagat captainofmar war navy captain navy prime lieutenant according navy latent
10305,Praça da aeronáutica,"Cabo da aeronáutica, Primeiro-sargento da aeronáutica, Segundo-sargento da aeronáutica, Soldado da aeronáutica, Suboficial da aeronáutica, Taifeiro da aeronáutica, Taifeiro-mor da aeronáutica, Terceiro-sargento da aeronáutica","Aeronautics Cape, First Aeronautics, according to Aeronautics, Aeronautics Soldier, Aeronautics, Aeronautics Taifeiro, Aeronautics Room, Third Aeronautics Aeronautics",aeronautics cape first aeronautics according aeronautics aeronautics soldier aeronautics aeronautics taifeiro aeronautics room third aeronautics aeronautics
10310,Praça do exército,"Cabo do exército, Primeiro-sargento do exército, Segundo-sargento, Soldado do exército, Subtenente do exército, Taifeiro do exército, Taifeiro-mor do exército, Terceiro-sargento do exército","Army Cape, Army First Samplent, according to Army Solder, Army Lieutenant, Army Taifeiro, Army Army Roil, Army Third Sergeant",army cape army first samplent according army solder army lieutenant army taifeiro army army roil army third sergeant
10315,Praça da marinha,"Cabo da marinha, Marinheiro, Primeiro-sargento da marinha, Segundo-sargento da marinha, Soldado fuzileiro naval, Suboficial da marinha, Terceiro-sargento da marinha","Navy, sailor, first-level navy, second-navy-sergeant, naval marine soldier, navy, third party, navy",navy sailor firstlevel navy secondnavysergeant naval marine soldier navy third party navy
20105,Coronel da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
20110,Tenente-coronel da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
20115,Major da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
20205,Capitão da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
20305,Primeiro tenente de polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
20310,Segundo tenente de polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
21105,Subtenente da policia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
21110,Sargento da policia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
21205,Cabo da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
21210,Soldado da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
30105,Coronel bombeiro militar,Coronel do corpo de bombeiros militar,Military Fire Department Colonel,military fire department colonel
30110,Major bombeiro militar,Major do corpo de bombeiros militar,Major of the Military Fire Department,major military fire department
30115,Tenente-coronel bombeiro militar,Tenente-coronel do corpo de bombeiros militar,Lieutenant Colonel of the Military Fire Department,lieutenant colonel military fire department
30205,Capitão bombeiro militar,Capitão do corpo de bombeiros militar,Captain of the Military Fire Department,captain military fire department
30305,Tenente do corpo de bombeiros militar,"Oficial subalterno do corpo de bombeiros militar, Primeiro-tenente bombeiro militar, Primeiro-tenente do corpo de bombeiros, Segundo-tenente bombeiro militar, Segundo-tenente do corpo de bombeiros","Subaltern Officer of the Military Fire Department, First Lieutenant Military Firefighter, Fire Department First Lieutenant, according to Military Firefighter, Second Lieutenant of the Fire Department",subaltern officer military fire department first lieutenant military firefighter fire department first lieutenant according military firefighter second lieutenant fire department
31105,Subtenente bombeiro militar,Subtenente do corpo de bombeiros militar,Military Fire Department Lieutenant,military fire department lieutenant
31110,Sargento bombeiro militar,Sargento do corpo de bombeiros militar,Military Fire Department Sergeant,military fire department sergeant
31205,Cabo bombeiro militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
31210,Soldado bombeiro militar,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111105,Senador,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111110,Deputado federal,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111115,Deputado estadual e distrital,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111120,Vereador,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111205,Presidente da república,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111210,Vice-presidente da república,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111215,Ministro de estado,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111220,Secretário - executivo,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111225,Membro superior do poder executivo,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
111230,Governador de estado,,"the JSON object must be str, bytes or bytearray, not NoneType",json object must str byte bytearray nonetype
