CODIGO,TITULO,SINONIMOS,SINONIMOS_ENG
10105,Oficial general da aeronáutica,"Brigadeiro, Major-brigadeiro, Marechal-do-ar, Tenente-brigadeiro","Brigadeiro, Major-Brigadier, Marshal-Do, Lieutenant Brigadier"
10110,Oficial general do exército,"General-de-brigada, General-de-divisão, General-de-exército, Marechal","Brigade General, Division General, General-of-Exempt, Marshal"
10115,Oficial general da marinha,"Almirante, Almirante-de-esquadra, Contra-almirante, Vice-almirante","Admiral, Admiral-de-Squad, Countertop, Vice Admiral"
10205,Oficial da aeronáutica,"Capitão da aeronáutica, Coronel da aeronáutica, Major da aeronáutica, Primeiro-tenente da aeronáutica, Segundo-tenente da aeronáutica, Tenente-coronel da aeronáutica","Captain of Aeronautics, Aeronautics Colonel, Aeronautics Major, Prime Lieutenant of Aeronautics, according to Aeronautics Lieutenant, Lieutenant Colonel of Aeronautics"
10210,Oficial do exército,"Capitão do exército, Coronel do exército, Major do exército, Primeiro-tenente do exército, Segundo-tenente do exército, Tenente-coronel do exército","Army Captain, Army Colonel, Army Major, Army First Lieutenant, Army Lieutenant Lieutenant Colonel of the Army"
10215,Oficial da marinha,"Capitão-de-corveta, Capitão-de-fragata, Capitão-de-mar-e-guerra, Capitão-tenente da marinha, Primeiro-tenente da marinha, Segundo-tenente da marinha","Captain-de-Corvette, Captain-of-Fagat, Captain-of-Mar and War, Navy Captain, Navy Prime Lieutenant, according to Navy Latent"
10305,Praça da aeronáutica,"Cabo da aeronáutica, Primeiro-sargento da aeronáutica, Segundo-sargento da aeronáutica, Soldado da aeronáutica, Suboficial da aeronáutica, Taifeiro da aeronáutica, Taifeiro-mor da aeronáutica, Terceiro-sargento da aeronáutica","Aeronautics Cape, First Aeronautics, according to Aeronautics, Aeronautics Soldier, Aeronautics, Aeronautics Taifeiro, Aeronautics Room, Third Aeronautics Aeronautics"
10310,Praça do exército,"Cabo do exército, Primeiro-sargento do exército, Segundo-sargento, Soldado do exército, Subtenente do exército, Taifeiro do exército, Taifeiro-mor do exército, Terceiro-sargento do exército","Army Cape, Army First Samplent, according to Army Solder, Army Lieutenant, Army Taifeiro, Army Army Roil, Army Third Sergeant"
10315,Praça da marinha,"Cabo da marinha, Marinheiro, Primeiro-sargento da marinha, Segundo-sargento da marinha, Soldado fuzileiro naval, Suboficial da marinha, Terceiro-sargento da marinha","Navy, sailor, first-level navy, second-navy-sergeant, naval marine soldier, navy, third party, navy"
20105,Coronel da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
20110,Tenente-coronel da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
20115,Major da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
20205,Capitão da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
20305,Primeiro tenente de polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
20310,Segundo tenente de polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
21105,Subtenente da policia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
21110,Sargento da policia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
21205,Cabo da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
21210,Soldado da polícia militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
30105,Coronel bombeiro militar,Coronel do corpo de bombeiros militar,Military Fire Department Colonel
30110,Major bombeiro militar,Major do corpo de bombeiros militar,Major of the Military Fire Department
30115,Tenente-coronel bombeiro militar,Tenente-coronel do corpo de bombeiros militar,Lieutenant Colonel of the Military Fire Department
30205,Capitão bombeiro militar,Capitão do corpo de bombeiros militar,Captain of the Military Fire Department
30305,Tenente do corpo de bombeiros militar,"Oficial subalterno do corpo de bombeiros militar, Primeiro-tenente bombeiro militar, Primeiro-tenente do corpo de bombeiros, Segundo-tenente bombeiro militar, Segundo-tenente do corpo de bombeiros","Subaltern Officer of the Military Fire Department, First Lieutenant Military Firefighter, Fire Department First Lieutenant, according to Military Firefighter, Second Lieutenant of the Fire Department"
31105,Subtenente bombeiro militar,Subtenente do corpo de bombeiros militar,Military Fire Department Lieutenant
31110,Sargento bombeiro militar,Sargento do corpo de bombeiros militar,Military Fire Department Sergeant
31205,Cabo bombeiro militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
31210,Soldado bombeiro militar,,"the JSON object must be str, bytes or bytearray, not NoneType"
111105,Senador,,"the JSON object must be str, bytes or bytearray, not NoneType"
111110,Deputado federal,,"the JSON object must be str, bytes or bytearray, not NoneType"
111115,Deputado estadual e distrital,,"the JSON object must be str, bytes or bytearray, not NoneType"
111120,Vereador,,"the JSON object must be str, bytes or bytearray, not NoneType"
111205,Presidente da república,,"the JSON object must be str, bytes or bytearray, not NoneType"
111210,Vice-presidente da república,,"the JSON object must be str, bytes or bytearray, not NoneType"
111215,Ministro de estado,,"the JSON object must be str, bytes or bytearray, not NoneType"
111220,Secretário - executivo,,"the JSON object must be str, bytes or bytearray, not NoneType"
111225,Membro superior do poder executivo,,"the JSON object must be str, bytes or bytearray, not NoneType"
111230,Governador de estado,,"the JSON object must be str, bytes or bytearray, not NoneType"
111235,Governador do distrito federal,,"the JSON object must be str, bytes or bytearray, not NoneType"
111240,Vice-governador de estado,,"the JSON object must be str, bytes or bytearray, not NoneType"
111245,Vice-governador do distrito federal,,"the JSON object must be str, bytes or bytearray, not NoneType"
111250,Prefeito,,"the JSON object must be str, bytes or bytearray, not NoneType"
